path,label,pcaFeatures
s3://p8-ms/Test/Pineapple/209_100.jpg,Pineapple,"[4.249528684267031, 24.29155204063384, -16.10190673284469, -3.8132547409201343, 8.08811511116097, -0.028908023541339353, 1.4810256410799898, -1.416169594544073, 0.9545009606002463, -3.5831416585250553, -10.958866228799646, -1.8998504332543682, 2.5931115385488925, -0.3264715119139318, 0.7030246786639915, 2.6437062630500368, -3.1128919995192135, 1.8605582528243543, 1.6828339336144738, 0.793250533807721, -2.0091962970126604, -0.3364565749505901, -1.238130360048304, -1.0860234713413093, 0.910020733441806, -1.2912541571212248, -2.706440544803641, 1.5203007083762659, 3.303462211640368, 0.9336429786510613, 1.2417871985339846, 3.314029402977125, -0.9827934926345042, 2.06532046248649, -3.2118561975336237, -2.356940263584034, 0.8385560144540902, 1.960483382460995, 1.3548705929329228, 1.400502944063848, -4.897845909031206, 4.719038369061778, -0.9850504423441155, 1.3898545468906505, 2.035956434406728, 1.9785996867436353, -0.02409644931521327, -0.380740877583456, -1.6257830236130126, -4.242283763272521, 0.9151902980663439, -0.26048994960646676, -0.8851063243044731, -0.8363717365138311, 0.4868965522196525, 1.0068338464496271, 1.77864103605834, -0.9288281132957636, 0.05441095001870183, 1.694550129652567, 0.5143513894198245, 0.4892735007279583, -0.2915476839598655, -0.3714494524800407, -1.4824795082882436, 0.20817942595569947, 0.19428375416855118, 0.27043949576057097, 0.19082108928591027, 0.5080783710546984, 1.1354762327220203, 1.7632820616279685, -1.455137599614738, 0.8949303262649955, -0.13474108368794874, -0.691823133623292, -1.2921427500364482, -1.5126053231934196, 0.5817624048919958, -0.8712154616249544, -1.787795889356298, -0.6371184828625134, 0.23378054046369084, -0.4745156650054972, -0.21544078873055716, 0.09637580055760589, 0.9510935626375308, -0.16129242312760458, 0.02533113361690222, -0.5381261659705457, -0.7683434347844443, -2.1295165435384704, -1.2248562349866743, -2.307508465281313, 0.44725512651948574, 0.6709015454422613, -0.5139249884687943, -0.05782326323963853, 1.2993810267714927, 0.29785895234471194]"
s3://p8-ms/Test/Pineapple/24_100.jpg,Pineapple,"[4.786637110467027, 23.88517594245971, -15.595323741186354, -2.9450884199234517, 8.252414957918576, -2.875918377614028, 0.17960541659743054, -0.8256029590313158, 0.6957082245570323, -4.234257408348597, -10.155710395349793, -2.2180249821241804, 1.1357419902309165, -1.9024786687768296, 1.970296500693395, 1.812086864489306, 0.2096813347045064, -0.06401671908974768, -0.0024754227578721757, -0.5784740534110289, 1.4490130713953193, 0.7169803965971117, 0.5582102314459241, 0.13035695002250808, -0.22795709445449025, 0.41064515211236274, 1.5644044113128774, -1.6532677298354224, -2.708711280414495, -0.6762147921379456, 0.26711236733982496, -1.8092183733961753, 0.4146454294226563, -2.923555495816478, 2.783380824189493, 1.0630254946313675, -2.9284330446604185, -0.869045885044675, -2.6358836647878365, -4.628748898366565, 4.208850081356718, -0.9923688538047135, 0.3441523075635028, 0.1208028377751219, -2.372627146418628, -1.2687625259145896, 0.07210209007628844, -1.0675151196280415, 0.11240311656316895, -0.02907851763054408, 0.12058389778713166, 0.9328497931686247, -0.8491060699057918, -1.4897624778555092, -0.39165798318956774, -0.8676718522208785, -0.9692529985475336, 0.37029525798508395, -1.0832629014398614, -0.34355315254200736, -0.5789094277049686, 0.4315095701350714, -1.2270090458629461, 0.3766250815301599, 0.9034907201593294, -1.5249635741471743, 1.270727674582208, 0.47340472248937215, -1.0925570856087095, 0.136007985676234, 0.4000065477893045, -1.529499983685395, 1.0420768479625204, -1.067916050533808, -0.059575525532331246, 2.458569880017263, 0.20832061559953702, 1.313982184501975, 2.325926436018175, 0.8267409644347581, -1.3641039095397247, 0.24585069459130707, -0.514811465240071, -0.851583996174037, 0.8014459898488849, -0.2333658932319602, -0.8295184950688074, -0.01947369848270377, 1.6084428717820836, 0.17299465623412863, 1.8225080126093796, 0.9149014142654385, 0.1397965510448656, -0.39649142564179274, -0.412517909827764, 0.22440736187432944, 0.0993638601492001, 3.850281746521568, 0.28096032327277143, 1.7523737823164054]"
s3://p8-ms/Test/Pineapple/197_100.jpg,Pineapple,"[3.9217729444055713, 23.539003012275177, -16.12579655535261, -3.775619398609375, 8.944987554590485, -0.8345791960630747, -0.1707126361549709, -1.8083178807243248, 1.2882505114363658, -3.5117814685778903, -10.402291902153957, -2.0301259411286585, 0.5775918839656266, -1.2618153365580431, 1.899351748086216, 2.758941413447042, -0.24004910083485287, 1.7979861211032082, 0.06504381406332174, -0.24284023008419986, -0.5634049897405665, 0.5264840732331731, -0.567292396525624, -1.052851104482388, -0.05719714393095167, 0.2781879317390396, 0.6333805012743613, 0.5983342108618181, 1.8163095360762542, -0.9335514757328234, 0.08725222518451771, 1.1674362162579102, -0.6139733411426428, -0.8190745202498337, -2.7705827590332213, -2.8307581107194317, -0.3083604075316523, 1.3177198230658398, -2.07276723875077, -1.0005186131964512, -0.3331740945600409, 0.008263838030960494, 0.12383864442533121, -1.4805680982833411, 1.1897673578106576, -0.023384786160854036, -2.7277013707071065, 1.1126553933533398, -0.47363389193108424, 0.9985812690691628, 1.624222659961166, -2.6938769974795598, 1.1356012932586785, 0.7363460442298261, 0.687876480517129, 0.30156333276434605, -2.0619479363785302, 0.40609713893565, 0.4826244057998273, 0.532880140452494, 2.4124331487249058, 1.4382969631009481, 0.39133592796276445, -1.8014687074155442, 0.4177700544236567, 3.348033301844025, -1.6853964833684523, 0.11282724929182097, 1.0184844531104227, 1.826893136608392, 0.42703274118922824, 0.761019343579974, -1.4603893375936312, 2.168592583312788, -0.4324749976148608, -2.73389236810875, -0.2424734111063731, -1.373562817206921, 0.039871700327257745, -1.0595857516357372, -0.23480213441531542, -1.7256475187544398, -0.2476171255855624, -0.7989288152725964, -1.0060729093218146, 0.3599729870071621, 0.8887684313464108, -0.6082290885425842, 0.24138229000505046, -0.4113573204446333, 0.16168684399592687, -1.6485719621317865, 0.00450387462760646, -1.7793435235092954, 0.9081964912005943, 0.093013919253164, 0.12327203820250669, 0.07050867324579013, -0.7525394069176718, -1.084524791450957]"
s3://p8-ms/Test/Apple Golden 1/130_100.jpg,Apple Golden 1,"[7.163973706450456, 4.234909962497389, 10.713807067156669, 3.9168313999423936, 0.6826071087907937, -4.844340575295478, -12.732937507743122, 1.2312230610569859, 4.962033406213616, 13.637140725832147, -6.048276284959203, 6.7494889729533, -3.6955109008087246, 4.340531619011414, 1.6944164627343565, 4.761635448201249, 4.537865769787125, -1.5864264897995515, 3.0212911432712066, 2.157580620629994, 0.4366148366268549, 2.363614686497917, 0.9025236374701321, -3.1916976041021536, 0.2794529723417404, 1.8256753925851945, 2.5623825056578875, 4.076698230224343, 3.3844816233804313, -1.8575717243475849, -1.779625813989639, -7.432788067462754, 1.2826640252624955, -1.4326349817659478, 1.2772134597117784, -1.1537194147259624, 0.10606660192124001, 2.479826007662146, -0.6609342054800362, 1.335754027145998, -1.714982355348757, 1.7753994573438698, -1.5582564031512265, -1.7914859275222361, -1.1597840454576194, 1.7564538734359636, 0.9909068071625777, 2.871256445042434, -0.11953921312733286, 0.5629215047999773, -0.9487113181662116, -1.5770982386363956, -0.8881967269475682, 0.34959960337878737, -1.7971197938587364, 0.3212860695137683, 1.1204639744487466, 1.7688849605287313, 1.9771656583236843, 0.39324705898696494, 0.45091942217862696, 0.23093010205454767, -2.3659937466913257, -2.504670633525188, 0.8294504797321544, -0.7616584139275924, 0.6140098635061377, 0.6684791772851882, 0.07397647198633972, 1.6471730168892398, 0.060694325964171736, -1.2916577886125218, 0.07719536739170627, -0.7112008102474077, 0.39212108490215064, 0.8201023326185269, -0.6989745145136821, -0.44021572215709115, 0.5945028439838165, 0.34401367997278415, 1.0161386349596748, 0.7010113986505591, 1.2581146785081752, -0.5348184604880538, 0.7000923882872125, -0.23752430358575574, -1.1779166403685994, -1.1505420098637318, -0.48098672020032546, 1.5901199427647459, -0.3375438403847975, -1.2174223448510448, -0.9621311828470629, -0.35281156339156, -1.4468266949607667, 1.3496203466648133, 0.4018017512982778, -0.4120470534676496, 1.1194117379927477, -0.39004074853925136]"
s3://p8-ms/Test/Pineapple/r_81_100.jpg,Pineapple,"[6.374646578962141, 18.568245346159973, -11.512707651682948, -3.454370259324987, 5.525125630480863, -1.7058977508611366, 0.6355643373874079, 1.0609440345208538, -2.4811994139030764, 3.8934489090093827, 10.0690976094581, 1.281947205852224, -2.9960693366536533, 3.9299820333477644, -3.6790705626002826, 0.607066833155591, -1.2381572855732652, 0.5116820255099964, -1.0641290150853895, 2.766973131683571, -0.18086421535707706, 4.734566825408958, 1.563371373845606, 0.4883654360413703, -2.24575466800291, -0.1591303231334858, 5.660775307900674, -1.4010678249972168, -0.4868976812898775, 1.4176984973577116, -5.879412779888111, 1.9094632061853223, 0.8998968728641674, 3.5170793481326625, -5.206911061612961, -2.7308995817697137, -3.124305132603163, 3.856856316620827, -5.809823172277773, 2.846001959063747, 3.6587711595338033, -1.6817817706656364, 5.3459948366457635, 0.13084051529473542, 1.4619205692428643, -0.8639509704592928, -0.1358540308511728, -1.4879225003304184, 0.43122911817784226, -0.7076157379368279, 0.13724101858756882, -0.31428062898803266, 0.14942003927308017, 2.402776723868848, -3.360929355052875, 0.889650154079206, -2.9201381200684824, 1.0644194962263052, -2.1532001842781194, 0.06696832080181087, 0.24557173670174187, -1.9117069614688704, -1.7209426113575326, 0.7529881094030197, 1.6911173015888923, -0.9742005419013414, 0.4006932588399456, 0.955433239769732, -0.2795988015483171, -0.6191003276377408, 0.16279187342264628, -1.1051517306366792, -0.007037217229263523, -2.8547078999193554, -0.35935398423208276, 1.7989231578864382, 0.6038045010427568, 0.5891475869904356, 0.9003454996630265, 1.5738975506553732, -0.7335264471716408, -0.4759744085931558, 0.4875818329235689, -0.07980513725575614, 1.2329013641771776, -0.2587718188863246, 0.6100596891144728, 0.8094898902922274, -0.15738749082352296, 0.5500154472991425, 2.4045067849629165, 0.8953870633114901, 0.2687556292324737, -1.4685136258884652, -0.452493769578756, -0.7119238974003383, -0.6222233867506222, 1.1890968321639992, -0.31554727987815473, 0.4503916793967891]"
s3://p8-ms/Test/Pineapple/r_141_100.jpg,Pineapple,"[6.550943481167153, 16.182512902916418, -9.623881676455067, -4.851964591829112, 6.90941266331169, -1.0000087567197649, -3.2821030408252705, 1.349479163293273, -2.2766941482279983, 3.035584354894676, 12.215999725599909, 0.43912455236811465, -2.72482853087146, 0.8471371324968431, -3.86915062736603, -3.369853073939957, 1.038465344591667, -0.8999972707147138, -1.5940102677278996, -2.686421029930913, 1.1388442283604463, -6.156101874881467, -2.5917599305723766, 2.374675197298098, 0.6502258018395171, 4.039835138365562, -1.9018333658056572, -1.7035215972646602, -1.279218586016617, -2.8287422649181377, -1.5233688960201968, -1.5813243197123807, 2.0097004017195617, -0.8864940118934888, 0.6318737983127724, 0.4342274781727344, -0.05279450132519764, 1.508443878687069, -0.29025877388057814, -4.827772212102356, -1.193698111603444, 2.5622245253560574, -3.281420790644481, 0.07828339585328634, -0.740404079861854, 0.4520248507195774, -1.4826961510684193, 3.16529506042719, 0.07923979444453856, 1.8272845675445368, 1.362523603976726, -0.4581902540969199, 2.039751504991354, 0.3071278034137269, 1.740964587373468, -1.3922928270552053, 0.8275058146659651, 0.6523793332567239, -0.49749980601082416, 0.9576252651991524, -2.250893764029871, -0.7676296275705072, -1.4059371548148307, -0.4364730356106508, -0.07423226166523272, 0.6681152368470499, 0.8149190219770879, 0.7180649386330509, -2.1849065058727266, 0.7922133383629278, 1.1446615538301579, -0.12272752615028769, -0.2107446414044312, -0.11359773072934304, -0.3478710528485559, 0.46119535432286346, 0.007521298854161928, -1.3969250305583982, -1.5383707674420353, -2.4007050235978165, -0.7224472619591282, 0.01828695609536768, -1.5579690592894748, -2.931676469867385, -1.5458691747584397, 0.6082194314082565, -0.4486625729955542, 1.059953195181739, -0.357575465478909, 0.10825152768349089, -1.4835199398658225, -0.1472922258288465, 0.18321739875943147, -1.0515505114926866, -1.3751183517899979, 0.04756324244157516, 0.21364592032125615, 1.099725087443524, -0.901639139759791, 0.11836876804737727]"
s3://p8-ms/Test/Pineapple/r_83_100.jpg,Pineapple,"[5.879883014028392, 20.858306005209837, -12.051896286992998, -4.29669311053656, 5.929982715877784, -1.3998687142108603, -0.5913788874306183, 0.8189891019233583, -2.9444591370836304, 4.062427552543898, 11.285326574818784, 1.9368030222825146, -2.9689067471292767, 3.4779119171391417, -4.123182825068187, 0.3836539692146546, -1.1364500205535493, 0.056854346097301264, -0.15891817398794914, 2.26750570095783, -0.21444466464552514, 4.137447538428843, 1.212767035498608, -0.45379186806677857, -1.9940146088580308, 0.18634425238700786, 4.755692059667744, 0.03703673226468065, -0.2667580435910042, 1.3545921708369917, -4.710943239344583, 0.6363697026604364, 0.3000688935970641, 2.027032868409531, -2.468345173738466, -1.6380776276339943, -2.6537712656051387, 2.335667161090258, -5.473636847417556, 2.454838672634374, 2.0544049741988584, -1.5326898161560791, 4.134820435434416, -0.8036989407970662, 0.6909413576510682, -0.49407573251379205, 0.10426456731131678, -0.445548801904538, 0.9402367690010528, 0.5272737701602918, -0.27612790871424575, 0.05786689602407992, 0.7405048117020704, 2.066734322278309, -2.7770267185999966, 1.5583545252612458, -1.3677315837462682, 1.202484731692081, -2.505379470690035, 0.3884814468008059, -0.3970044543383623, -0.8444869459213439, -1.1813674994526007, 0.9432399156444242, 0.5882630833138881, -0.1510936170515537, 0.2449593885772826, 1.1974828063774123, -1.073615809810758, -1.1918523481054843, -1.6554930779217207, -2.080103371470489, -0.5402398873002193, -2.053480199495932, -0.5076723360561011, 1.4775761286883713, 1.6683937321555564, 1.1627630394976858, 1.5728430799815978, 0.9318346187945765, -0.0509457290962966, -0.08838862600987299, 0.4711634684999939, -0.6529448286031707, 1.133964773765688, -1.7423313608873814, 1.8602972145469239, -0.07786380137763584, 0.08640423324183519, 0.8786742206657017, 1.694382114290988, 0.1983938696160623, 0.6139630868131305, -0.42511428536745555, 0.0019430856787460218, -0.16430281405115413, -0.1069237116026896, 0.38334414627478886, 1.9002183070695033, 1.2971683251682748]"
s3://p8-ms/Test/Pineapple/r_217_100.jpg,Pineapple,"[5.148381967423042, 17.713859589265223, -11.951198480661109, -6.5527560808534275, 5.789853404913339, -1.881935759674269, -1.0969772390107928, 0.8956612986179551, -2.6748195986594205, 3.281811912074511, 13.558664331203543, 3.109604984121413, -2.93327694147662, 1.6274099612587343, -4.20241333953034, -2.19748086282696, 1.5625212043997636, -1.7718167653556849, 0.18113366436090939, 3.4385624676669724, 0.892034079591962, 5.814602490316763, 2.681593062873736, -1.4413979567987427, -0.07639903853817871, -5.773050078234077, -0.9407449989197064, 1.1059609906031747, -0.43952999850996693, 1.7134370549174216, 5.419421119970379, -2.4068626458114117, -2.944756882927178, -1.6495454405911305, 3.9804980017801497, 2.733696275933133, 0.49086336586717816, -2.3086037914471316, 2.8529043191907464, 0.12140796050579705, -0.8771037618830008, -3.882429682581057, -0.5163852975271793, 1.8054130159755235, 0.420916382511917, -0.7616670857136678, 1.8662277287617859, -0.5311459360060196, -0.2086046080057883, 0.40112329630848126, -0.9671001129176219, 0.7305275644663598, -1.3781541961958308, -0.9380511724338292, 0.613734912116754, 0.4458782884432574, 0.1076829814429887, 1.3232068549390237, 0.5429292695010417, 0.3731787439842764, -0.7989505766442884, 1.8002472688345783, -0.14072503086085236, -0.12591299065130573, -0.5006942174911453, 2.3500296301583785, -0.35000042442050855, -0.11725917891597681, -1.4954512222392193, 1.1149692737582384, -0.07218817472948373, 1.0355737474851583, -0.09926693599759329, 0.2768299962166654, 0.06711014505891068, -2.086807474881155, -0.10017936084504424, -1.5638628861956492, -0.7282226453443399, -1.3524866841102121, -0.7425314152748895, -0.2128500493206804, 0.008533200696607412, -0.37482272517883575, 0.1516585613938088, 0.043963863045581995, 0.19088658736395703, -0.5784751920948975, 0.27938703472641435, -0.04843823674720496, -0.4807036095754971, 0.5901697153064347, -0.4661103141652894, 0.2875551185397729, 0.4981795225352929, 0.05799569470958374, 0.5574795237865969, 0.05828399388650373, 0.4082376855583717, 0.6844178392484722]"
s3://p8-ms/Test/Orange/88_100.jpg,Orange,"[9.975605166000776, -9.593514446476652, 5.392605369853089, -9.229462698928002, 2.790837017965151, -1.6107144805210987, 12.23225587167571, -1.1797098356765323, 2.538236583467362, 3.697530387377607, -2.1417077754716716, 0.552452186782716, -2.366887737499729, -1.7746246280971187, -0.7797278428158732, -1.3951737027074302, -1.1251284244579183, -1.057596777635734, 1.5761400695996506, -2.9632669679763084, 0.7230865611173453, -0.650397383069505, -0.4213492502705844, 0.500916897608257, -0.2930939356700607, -0.5049890497623927, 0.38626976126720164, 1.0352121893460464, 1.0619074126318728, 2.747812365441127, -0.44022342313507795, -0.7889612194247227, -1.5093072998566839, -0.8233342823149592, 1.7412740266669278, 0.11574874014015284, 0.9654566328393659, 0.16189933997335126, -1.728304151774436, -0.513757557724657, -1.293284600010537, 0.6223762183365011, 0.31260145713159054, -0.06714198932759788, -0.07907445085460124, 0.05936964534149927, -0.3104461602687242, 0.19907264785529236, 0.0969992248504614, -0.5290335495221283, 0.6701185780777335, 0.07925731150868442, 0.6512730789922879, 0.21856483791969644, -1.0677191298154451, -0.9097786913363644, 0.20018914035458027, 1.1960541791082586, -0.9403646777800633, -0.3633633477830001, 1.7808833829985695, -0.07785041826064168, 0.5916218382988396, -1.157048617760043, 1.2013106086841119, 1.427190391452572, 1.9005440621783827, -0.6498501208830804, -1.3721504381723626, -0.0010271143051381643, -0.14592013095800074, 0.5615585407729663, 0.8686955089670931, 0.12601211600775317, 0.7046340139922993, -0.08011124263948433, 0.9952951392923896, -0.9998682177762618, -0.7568020403857513, 0.3879210092154844, 0.07697047757427797, 0.4027438469937523, 0.6234493958077402, 0.5633362045080034, 1.1790724641035073, -0.4490095172134018, -0.3710700181361447, -1.2906461841484396, 0.47723827820812464, -0.8837311187350145, -0.23680379057884346, -1.2657573953833972, -0.751423183746729, 0.5340869892293777, -0.36836272404637593, -1.6283165508455533, -1.5308144600576248, -0.3085245079577885, 0.6804323889753611, 0.5422738421963231]"
s3://p8-ms/Test/Orange/78_100.jpg,Orange,"[9.69222858563782, -9.664169855841097, 4.31924388022605, -9.432805001712278, 2.5836811382260154, -2.4477779085640687, 12.675527876916904, -0.7074269708146897, 1.5841455146326322, 3.8005722968296833, -1.8811629818512552, 1.2312643776485355, -2.0191889200470086, -1.7133191048045309, -0.7692325609503649, -2.0490743313620223, -1.3671609375413774, -1.005977639959926, 1.6721612393853764, -3.3225185567852407, 0.4006076326333879, 0.052112905345382536, -1.2585384597913372, 0.17741888460517294, -0.49844917858038884, -0.050397840644848785, 0.6831783886674414, 0.4494720113818316, 0.40955211819287046, 1.840694579514863, 0.22088522367142036, -0.2582520689530394, -0.298764681710005, -0.42757069992574626, 1.309961651542362, 0.011943138005696838, 0.5423602490574174, 1.1449341042225647, -0.41997554890559086, -0.14078312364873807, -0.5694845683344975, -0.08204967149284992, 0.16730240129627644, 0.16692902780824215, 0.08053405043587736, -0.31488701833843946, -0.08289818847025558, -0.08456506672296905, -1.1349001078641217, 0.45874272699077084, 0.3022906088186664, -0.8175519079647857, 0.8280046417282729, 0.1838845196111319, -0.553620326904528, -0.5325677867165088, 0.24569272248963003, 0.8774282154056251, -0.014626422273488735, -0.12560159655531516, 0.6178240704963556, -0.3142361111966981, 0.2604278266541426, -0.06519247722065159, 0.40619065635012863, -0.05978210073690377, 0.4425864163705539, 0.5894951592042476, -1.1133103467117893, 0.07115226963541962, 0.185103563060985, 0.13640040544209495, 0.3673730759393362, -0.07109322154452871, 0.2569755723102477, 0.1663076942392279, 0.7369866085556265, -0.9017439423010511, 0.08717470725860986, 0.02254016909991579, -0.6993010768287239, -0.08328547831384958, 0.18420982086482235, -0.3628761021454128, 0.7090366309646879, -0.10390892357607248, -0.044738948072764566, -0.8935885802224395, 0.021660352267081295, -0.45762121224171554, -0.8097310308732047, -0.08478919408101658, -0.27605539989097194, -0.22761369573509427, -0.05802005099891748, -0.7158264430949485, -0.48366596865913897, -0.008761733340012113, -0.2437497127603066, 0.5140628371370786]"
